ID,Metal,BDE,M-H,VMH,CoordNum,H,B,C,N,O,F,Si,P,S,Cl,Charge,LTrans,GrpNum
UHIMEE.Mo.xyz,Mo,57.96,1.712414,1788.5,9,2,0,1,0,0,0,0,1,0,0,0,0,6
UHIROS.Ir.xyz,Ir,74.55,1.568774,2216.6,6,1,0,1,1,0,0,0,0,0,0,0,7,9
UHOSEP.Ru.xyz,Ru,57.88,1.598353,1968.9,6,2,0,0,0,0,0,0,1,1,0,1,16,8
UHUFAF.Ir.xyz,Ir,72.38,1.614831,2035.2,6,2,0,0,0,0,0,0,1,0,0,1,0,9
UHUFEJ.Ir.xyz,Ir,67.82,1.666767,1705.7,6,2,0,0,0,0,0,0,1,0,0,1,1,9
UJABOX.Ru.xyz,Ru,70.5,1.562078,2165.8,7,1,0,0,1,0,0,1,0,0,0,0,0,8
UJABOX01.Ru.xyz,Ru,70.49,1.562058,2165.9,7,1,0,0,1,0,0,1,0,0,0,0,0,8
UJACAK.Ru.xyz,Ru,68.61,1.601348,1983.5,7,3,0,0,1,0,0,1,1,0,0,0,0,8
UJADAK.Rh.xyz,Rh,59.19,1.546516,2046,6,1,0,0,1,0,0,0,0,0,1,1,7,9
UJAJOE.Ir.xyz,Ir,68.52,1.595827,2083.5,8,1,0,1,0,0,0,0,1,0,0,0,0,9
UJAMEZ.Co.xyz,Co,48.15,1.524077,1751.6,8,1,0,1,1,0,0,0,0,0,0,0,0,9
UJEKEC.Rh.xyz,Rh,62.55,1.541838,2069.9,6,2,0,0,1,0,0,0,1,0,0,0,7,9
UJEQOR.Os.xyz,Os,64.8,1.672253,1929.5,6,1,0,1,0,0,0,0,1,0,0,1,6,8
UJIQEM.Mn.xyz,Mn,53.6,1.590046,1693.3,6,1,0,1,1,0,0,0,1,0,0,0,6,7
UJIWIT.Re.xyz,Re,62.85,1.650389,2017.9,7,4,0,0,1,0,0,0,1,0,0,0,0,7
UJIWOZ.Re.xyz,Re,63.42,1.692281,1909.2,7,1,0,1,1,0,0,0,1,0,0,0,0,7
UJUCAE.Pt.xyz,Pt,65.91,1.583571,2014.8,6,2,0,1,0,0,0,1,0,0,0,0,6,10
UJUFEL.Ir.xyz,Ir,68.76,1.585003,2167,8,1,1,0,0,0,0,0,1,1,0,0,16,9
UJUWED.Os.xyz,Os,68.45,1.675921,1908.7,6,1,0,1,0,0,0,0,1,0,0,0,6,8
UJUWUT.Os.xyz,Os,67.7,1.679625,1887.7,6,1,0,1,0,0,0,0,1,0,0,0,6,8
UJUZUV.Ru.xyz,Ru,63.77,1.587457,1988,6,1,0,0,0,1,0,0,1,0,1,0,17,8
UKABAK.Ru.xyz,Ru,64.67,1.587786,1994.3,6,1,0,0,0,1,0,0,1,0,1,0,17,8
UKABEO.Ru.xyz,Ru,65.03,1.588272,1989.6,6,1,0,0,0,1,0,0,1,0,1,0,17,8
UKABIS.Ru.xyz,Ru,67.23,1.573755,2069.2,6,1,0,0,0,1,0,0,1,0,0,1,8,8
UKABOY.Ru.xyz,Ru,46.62,1.583124,2124.2,7,1,0,0,0,1,0,0,1,0,0,1,0,8
UKABUE.Ru.xyz,Ru,45.46,1.589003,2067.3,7,1,0,0,0,1,0,0,1,0,0,1,0,8
UKACAL.Ru.xyz,Ru,66.38,1.586256,1994.7,5,1,0,0,0,0,0,0,1,0,1,0,0,8
UKACEP.Ru.xyz,Ru,58.05,1.571876,2093.3,9,1,0,1,0,0,0,0,1,0,0,1,0,8
UKACIT.Ru.xyz,Ru,65.4,1.630673,1836.4,6,1,0,0,0,0,0,0,1,0,0,1,15,8
UKACOZ.Ru.xyz,Ru,59.71,1.540198,2165.3,5,1,0,0,0,1,0,0,1,0,0,1,0,8
UKARUT.Ru.xyz,Ru,66.82,1.617969,1880.4,6,1,0,0,0,0,0,0,1,1,0,0,16,8
UKECIY.Ir.xyz,Ir,71.81,1.661419,1865,6,1,0,1,0,1,0,0,1,0,0,0,6,9
UKECOE.Ir.xyz,Ir,75.96,1.568248,2232.1,6,1,0,1,0,1,0,0,1,0,0,0,8,9
UKECUK.Ir.xyz,Ir,60.89,1.554478,2275.3,5,1,0,1,0,1,0,0,1,0,0,0,0,9
UKENEF.Pt.xyz,Pt,68.61,1.586061,2109.3,5,1,0,1,0,0,0,1,0,0,0,0,6,10
UKENOP.Pt.xyz,Pt,72.67,1.610259,1993.3,3,1,0,1,0,0,0,1,0,0,0,0,0,10
UKENUV01.Pt.xyz,Pt,70.08,1.606181,2007.6,3,1,0,1,0,0,0,1,0,0,0,0,0,10
UKOPAL.Ru.xyz,Ru,64.89,1.626971,1862.5,6,1,0,1,0,0,0,0,1,0,0,0,15,8
UKOYIF.Ru.xyz,Ru,67.48,1.602528,1930.5,6,1,0,1,1,1,0,0,1,0,0,0,8,8
UKOYOL.Ru.xyz,Ru,62.02,1.632981,1900.9,6,1,0,1,1,0,0,0,1,0,0,1,6,8
ULATEI.Ru.xyz,Ru,68.16,1.597889,1960.3,6,1,0,1,1,0,0,0,1,0,1,0,0,8
ULATIM.Ru.xyz,Ru,65.01,1.576994,2011.2,5,1,0,1,1,0,0,0,1,0,0,0,0,8
ULATIM01.Ru.xyz,Ru,65.01,1.577002,2011.2,5,1,0,1,1,0,0,0,1,0,0,0,0,8
ULOGOR.Ru.xyz,Ru,63.28,1.545262,2165.6,5,1,0,1,0,0,0,0,1,0,1,0,0,8
ULOQUJ.W.xyz,W,59.05,1.704701,1894.3,12,1,0,1,1,0,0,0,0,0,0,0,0,6
UMABIW.Ir.xyz,Ir,70.03,1.61247,2216.6,7,1,0,1,1,0,0,0,1,0,0,1,0,9
UMAQUU.Co.xyz,Co,30.42,1.42815,2061.9,6,1,0,0,1,1,0,0,0,0,0,2,8,9
UMEJUS.Nb.xyz,Nb,62.09,1.778627,1678.7,8,3,0,1,1,0,0,0,0,0,0,0,0,5
UMEKAZ.Nb.xyz,Nb,54.87,1.760643,1702.1,7,1,0,1,1,0,0,0,0,0,0,1,0,5
UMEKED.Nb.xyz,Nb,63.85,1.781147,1678.9,5,1,0,1,1,0,0,0,0,0,0,0,0,5
UMEWUF.Ru.xyz,Ru,66.03,1.621002,1868.9,6,2,0,0,1,0,0,0,1,0,0,0,7,8
UMEXAM.Ru.xyz,Ru,67.12,1.608026,1950.1,6,1,0,1,1,0,0,0,1,0,0,0,0,8
UMILAF.Ir.xyz,Ir,74.56,1.581818,2188,6,1,0,1,0,0,0,0,1,0,1,0,17,9
UMILEJ.Ir.xyz,Ir,69.17,1.627131,1954.7,6,1,0,1,1,0,0,0,1,0,0,0,0,9
UMILIN.Ir.xyz,Ir,67.23,1.619043,2015.2,6,1,0,1,1,0,0,0,1,0,0,1,15,9
UMILOT.Ir.xyz,Ir,68.64,1.620178,2015.2,6,1,0,1,1,0,0,0,1,0,0,0,0,9
UMIPAJ.Ru.xyz,Ru,66.33,1.598561,1980.3,6,1,0,1,1,0,0,0,1,0,0,1,0,8
UMITAM.Pd.xyz,Pd,61.36,1.555145,1952,4,1,0,0,0,0,0,0,1,0,1,0,35,10
UNALAY.Ru.xyz,Ru,59.06,1.662123,1800.2,6,1,1,1,0,0,0,0,1,0,0,0,6,8
UNALEC.Os.xyz,Os,68.73,1.708175,1791.8,6,1,1,1,0,0,0,0,1,0,0,0,6,8
UNALIG.Ru.xyz,Ru,62,1.654643,1816.4,6,1,1,1,0,0,0,0,1,0,0,0,6,8
UNIMIN.Pt.xyz,Pt,65.14,1.558301,2217.5,5,1,0,1,1,0,0,0,0,0,0,0,7,10
UNINAG.W.xyz,W,63.77,1.711501,1893.1,10,1,0,1,1,0,0,0,0,0,0,0,0,6
UNONET.Ru.xyz,Ru,57.9,1.607581,1975.8,6,1,0,1,0,0,0,0,1,0,0,1,0,8
UNONIX.Ir.xyz,Ir,71.51,1.552896,2323.3,6,1,0,1,0,1,0,0,1,0,0,0,8,9
UNONOD.Ir.xyz,Ir,68.18,1.600255,2248,6,1,0,1,0,0,0,0,1,0,0,1,0,9
UPEWOE.Co.xyz,Co,42.13,1.475147,1953.9,6,1,0,0,0,0,0,1,1,0,1,0,15,9
UPEXAR.Co.xyz,Co,41.58,1.472027,1935.4,6,1,0,0,0,0,0,1,1,0,1,0,15,9
UPEXEV.Co.xyz,Co,41.1,1.472458,1936.9,6,1,0,0,0,0,0,1,1,0,1,0,15,9
UPEXIZ.Co.xyz,Co,46.42,1.473739,1943.9,6,2,0,0,0,0,0,1,1,0,0,0,0,9
UPEXOF.Co.xyz,Co,47.71,1.47319,1945.5,6,2,0,0,0,0,0,1,1,0,0,0,0,9
UPEXUL.Co.xyz,Co,49.52,1.475791,1927.2,6,2,0,0,0,0,0,1,1,0,0,0,0,9
UPOGEM.Mo.xyz,Mo,52.67,1.692724,1794.2,10,1,0,1,1,0,0,0,0,0,0,0,0,6
UPOLES.Ru.xyz,Ru,52.64,1.669377,1986.4,5,1,0,0,0,0,0,1,1,0,0,0,0,8
UQOSEA.Rh.xyz,Rh,66.21,1.550749,2088.4,6,1,1,0,1,1,0,0,1,0,0,1,7,9
URAKAC.Ir.xyz,Ir,66.61,1.569036,2247.5,6,1,0,1,0,0,0,0,1,1,1,0,17,9
URERIV.W.xyz,W,66.73,1.868949,1522.5,6,1,0,0,1,0,0,0,1,0,0,0,0,6
UREROB.W.xyz,W,63.6,1.876789,1494.6,6,1,0,0,1,0,0,0,1,0,0,0,7,6
URERUH.W.xyz,W,66.76,1.855183,1555.2,6,1,0,0,1,0,0,0,1,0,0,0,7,6
URIMOA.Ti.xyz,Ti,46.15,1.722423,1539.9,5,1,0,0,1,0,0,0,1,0,0,0,0,4
URUXIQ.Cd.xyz,Cd,62.24,1.658788,1766.9,2,1,0,0,1,0,0,0,0,0,0,0,7,12
URUXIQ.Zn.xyz,Zn,71.07,1.523606,1867,2,1,0,0,1,0,0,0,0,0,0,0,7,12
URUYAJ.Cd.xyz,Cd,62.02,1.658674,1766.8,2,1,0,0,1,0,0,0,0,0,0,0,7,12
URUYAJ.Zn.xyz,Zn,71.49,1.523664,1857.4,2,1,0,0,1,0,0,0,0,0,0,0,7,12
URUYEN.Cd.xyz,Cd,61.5,1.657998,1767.6,2,1,0,0,1,0,0,0,0,0,0,0,7,12
URUYEN.Zn.xyz,Zn,70.9,1.523269,1867.9,2,1,0,0,1,0,0,0,0,0,0,0,7,12
USAPUA.Ru.xyz,Ru,58.52,1.598299,1962.9,6,1,0,0,1,0,0,0,0,0,1,0,17,8
USUZEP.Ir.xyz,Ir,74.75,1.59158,2115.6,6,1,0,1,1,0,0,0,0,0,1,0,17,9
USUZIT.Ir.xyz,Ir,73.48,1.587954,2142.5,6,1,0,1,1,0,0,0,0,0,1,0,17,9
UTOGER.Os.xyz,Os,67.94,1.60576,2176.5,7,1,0,1,0,1,0,0,1,0,0,1,0,8
UTOGIV.Os.xyz,Os,68.11,1.607542,2181.9,7,1,0,1,0,1,0,0,1,0,0,1,0,8
UTOJUK.Co.xyz,Co,48.16,1.481191,1914.8,5,1,0,1,0,0,0,0,0,0,0,0,6,9
UTOKAR.Co.xyz,Co,48.89,1.481137,1879.8,5,1,0,1,0,0,0,0,1,0,0,0,15,9
